FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,model,Model,Prompt
34,one_word_P2,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPT-4V,GPT-4 with Vision,P2
12,one_word_P3,0.8289714285714286,0.6857142857142857,0.9428571428571428,0,0,0,0.9658958614196071,0.8709677419354839,1,0,0,0,0,0,0,NA,NA,NA,0.4829199877299603,0.43548387096774194,0.5,GPT-4V,GPT-4 with Vision,P3
34,one_word_P3,0.7712307692307693,0.6410256410256411,0.8974358974358975,0,0,0,0.9388707609075164,0.84375,1,0,0,0,0,0,0,NA,NA,NA,0.4694353804537582,0.421875,0.5,GPT-4V,GPT-4 with Vision,P3
56,one_word_P3,0.7650697674418605,0.627906976744186,0.8837209302325582,0.11437962462374228,0,0.4,0.9409754967737743,0.8484848484848485,1,0.3427936177936178,0,1,0.11437962462374228,0,0.4,0.2469082061744201,0.11764705882352942,0.5000000000000001,0.5276775606987583,0.4393939393939394,0.6666666666666666,GPT-4V,GPT-4 with Vision,P3
12,one_word_P4,0.6451949152542373,0.559322033898305,0.7290254237288133,0.3584884241274738,0.17227011494252875,0.5556666666666665,0.733625214960967,0.6428183229813665,0.8265463592844545,0.2940265541170851,0.13333333333333333,0.457172619047619,0.3584884241274738,0.17227011494252875,0.5556666666666665,0.31958390767587913,0.15984615384615383,0.47277349768875193,0.5460568195442204,0.4405456560283688,0.6568590199241795,GPT-4V,GPT-4 with Vision,P4
34,one_word_P4,0.6932481203007519,0.6090225563909775,0.7671052631578945,0.4107997655544423,0.2571245421245421,0.5862576064908721,0.8022387081156188,0.7204193548387098,0.88,0.4443626418783437,0.275,0.6177231237322515,0.4107997655544423,0.2571245421245421,0.5862576064908721,0.42339129102252704,0.28070175438596495,0.5647774244833067,0.6065192368350305,0.520776690002136,0.6990708915145005,GPT-4V,GPT-4 with Vision,P4
56,one_word_P4,0.6557105263157895,0.5701754385964912,0.7456140350877193,0.3524735923195184,0.18181818181818182,0.5357829670329669,0.7547210117235897,0.6627906976744186,0.8452380952380952,0.31994635692768864,0.16,0.5,0.3524735923195184,0.18181818181818182,0.5357829670329669,0.33176482889487935,0.17543859649122806,0.4927635497319834,0.5535973020215541,0.4563840605365359,0.656039177768829,GPT-4V,GPT-4 with Vision,P4
12,one_word_P5,0.7794383561643835,0.6845890410958904,0.863013698630137,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,GPT-4V,GPT-4 with Vision,P5
34,one_word_P5,0.7784861111111111,0.6805555555555556,0.8611111111111112,0,0,0,0.9823001611693961,0.9387755102040817,1,0,0,0,0,0,0,NA,NA,NA,0.49115008058469806,0.46938775510204084,0.5,GPT-4V,GPT-4 with Vision,P5
56,one_word_P5,0.7245632183908046,0.632183908045977,0.8160919540229885,0.1247317211586242,0,0.28,0.951279051098222,0.8928434065934067,1,0.4886608538569323,0,1,0.1247317211586242,0,0.28,0.2017999938720808,0.06666666666666667,0.4,0.5380053861284231,0.4765625,0.6200032467532468,GPT-4V,GPT-4 with Vision,P5
12,one_word_P6,0.7423589743589744,0.6153846153846154,0.8717948717948718,0,0,0,0.9666652497811744,0.8928571428571429,1,0,0,0,0,0,0,NA,NA,NA,0.4833326248905872,0.44642857142857145,0.5,GPT-4V,GPT-4 with Vision,P6
34,one_word_P6,0.6227567567567568,0.4594594594594595,0.7837837837837838,0.08805183965501304,0,0.2857142857142857,0.8777258673991166,0.7307692307692307,1,0.25474564352736945,0,1,0.08805183965501304,0,0.2857142857142857,0.18837203861740717,0.09523809523809525,0.380952380952381,0.4828888535270648,0.38,0.5928968253968253,GPT-4V,GPT-4 with Vision,P6
56,one_word_P6,0.7042272727272727,0.5681818181818182,0.8181818181818182,0.0746963863946735,0,0.25,0.9667129485971164,0.8928571428571429,1,0.4893665662986505,0,1,0.0746963863946735,0,0.25,0.19469816021791883,0.09523809523809525,0.4,0.520704667495895,0.45454545454545453,0.6153846153846154,GPT-4V,GPT-4 with Vision,P6
12,one_word_P7,0.6248791946308725,0.5436241610738255,0.697986577181208,0.5564292008944772,0.3947169059011164,0.7142857142857143,0.6464684998392919,0.5564975845410628,0.7363636363636363,0.3324841463371646,0.21996875,0.4615671641791045,0.5564292008944772,0.3947169059011164,0.7142857142857143,0.41368092826052294,0.29160391566265065,0.5344827586206896,0.6014488503668846,0.5067084587213264,0.686713699209661,GPT-4V,GPT-4 with Vision,P7
34,one_word_P7,0.6113273809523809,0.5416666666666666,0.6845238095238095,0.43828203116076836,0.29265752032520326,0.5814059196617336,0.6803770837407009,0.5916576086956521,0.7627230151650312,0.3544667911086732,0.23333333333333334,0.48214285714285715,0.43828203116076836,0.29265752032520326,0.5814059196617336,0.38987569374681724,0.269201030927835,0.512,0.5593295574507346,0.4770825031207989,0.6459483254222105,GPT-4V,GPT-4 with Vision,P7
56,one_word_P7,0.576360248447205,0.5031055900621118,0.6583850931677019,0.5804850589176489,0.4318181818181818,0.7391304347826086,0.574797985872877,0.48816912591808376,0.6635416666666666,0.3322504303950704,0.23607253086419752,0.44285714285714284,0.5804850589176489,0.4318181818181818,0.7391304347826086,0.42067019111192877,0.3147875816993464,0.5354800799153836,0.577641522395263,0.49467494089834513,0.6687034784062486,GPT-4V,GPT-4 with Vision,P7
12,one_word_P8,0.5774427860696517,0.5073383084577114,0.6468905472636816,0.7053009181869747,0.5813604651162791,0.8302672955974842,0.5369601016874721,0.4557513914656772,0.625,0.32572050298423233,0.2352676205617382,0.4205730447614363,0.7053009181869747,0.5813604651162791,0.8302672955974842,0.4438783210309899,0.3403655978423734,0.5380365808137364,0.6211305099372234,0.5422734272088376,0.6948355957942841,GPT-4V,GPT-4 with Vision,P8
34,one_word_P8,0.6033022222222222,0.5377777777777778,0.6711111111111111,0.5755442811959673,0.45584893048128344,0.6935825587752871,0.6154443669592095,0.5369005289123961,0.6907924641148325,0.3966358429493182,0.30186650436193957,0.49495199519952,0.5755442811959673,0.45584893048128344,0.6935825587752871,0.4681630113403094,0.3758179530201342,0.5584469999274468,0.5954943240775884,0.5285757211538462,0.6660442208418953,GPT-4V,GPT-4 with Vision,P8
56,one_word_P8,0.49257368421052633,0.4263157894736842,0.5631578947368421,0.5096602100020481,0.36839419978517723,0.653140943877551,0.4872585996734272,0.41093673006800036,0.5714520676691729,0.23562715720359115,0.15217391304347827,0.32434874633669813,0.5096602100020481,0.36839419978517723,0.653140943877551,0.3206365334005088,0.22218137254901957,0.4189354564354565,0.49845940483773765,0.42309908717757405,0.5817264783297392,GPT-4V,GPT-4 with Vision,P8
